first_column,République de Venise,Duché de Milan,Padoue,Royaume de France,Royaume de Naples,Couronne d'Aragon,Castille,Royaume du Portugal,Royaume de Sicile,Royaume de Hongrie,Florence,Royaume d'Angleterre,Etats Pontificaux,Comté de Provence,Bourgogne,Principauté d'Achaïe,Sardaigne
Duché de Milan,3,0,3,10,10,1,2,2,3,1,1,1,23,1,1,2,5
Royaume de France,4,10,1,0,24,17,11,8,3,0,2,15,21,54,0,0,1
Royaume de Naples,15,10,2,24,0,3,0,0,5,1,6,2,49,5,4,10,6
Castille,4,2,0,11,0,10,0,34,4,0,0,0,1,0,1,1,2
Royaume de Sicile,1,3,0,3,5,3,4,0,0,0,1,0,2,0,1,1,4
Royaume d'Angleterre,1,1,0,15,2,0,0,0,0,0,0,0,1,0,0,0,0
Etats Pontificaux,20,23,5,21,49,3,1,0,2,0,8,1,0,9,5,5,1
Bourgogne,0,1,0,76,4,1,1,1,1,0,0,0,5,2,28,0,0
République de Venise,0,3,3,4,15,3,4,0,1,0,1,1,20,0,0,7,3
Padoue,3,3,0,1,2,0,0,0,0,0,0,0,5,0,0,1,0
Couronne d'Aragon,3,1,0,17,3,0,10,0,3,0,0,0,3,0,1,0,5
Royaume du Portugal,0,2,0,8,0,0,34,0,0,0,0,0,0,2,1,1,0
Royaume de Hongrie,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Florence,1,1,0,2,6,0,0,0,1,0,0,0,8,0,0,1,0
Comté de Provence,0,1,0,54,5,0,0,2,0,0,0,0,9,0,2,0,0
Principauté d'Achaïe,7,2,1,0,10,0,1,1,1,0,1,0,5,0,0,0,0
Sardaigne,3,5,0,1,6,5,2,0,4,0,0,0,1,0,0,0,0
